merchant_id,account_name,account_type,sector,mcc,account_owner,account_status,activated_date,country,referral_source,mcc_code,converted,activate_year,activate_month
157261,Malibowl Limited,Restaurant,Hospitality,5812- Eating Place & Restaurant,David Githaiga,Activated,2025-04-22,Kenya,Self Search,5812.0,1,2025.0,4.0
157221,Wine And Spine,Liquor Store,Hospitality,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",David Githaiga,Activated,2025-05-04,Kenya,Employee Referral,5813.0,1,2025.0,5.0
153047,TUSOME EDUCATION CONSULTING,School,Retail,8220- Colleges and Universities,Elia Mwakijale,Finalized,2025-04-24,Tanzania,Account Management Referral,8220.0,1,2025.0,4.0
157278,NGUZO FURNITURE,Furniture Store,Retail,"5712- Furniture, Home Furnishings, and Equipment store, Except Appliances",Elia Mwakijale,Finalized,2025-04-24,Tanzania,Self Search,5712.0,1,2025.0,4.0
157308,Ilonito Designer Collections Limited,"Fashion, Clothes & Accessories",Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Finalized,2025-04-24,Kenya,Account Management Referral,5399.0,1,2025.0,4.0
157281,ATHLETIC ATTIRE CO LIMITED,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Susan Matiko,Finalized,2025-04-24,Kenya,Self Search,5691.0,1,2025.0,4.0
157271,CAYVANN COMPANY LIMITED,Salon,Retail,5399-Miscellaneous General Merchant (Small Retail),Susan Matiko,Finalized,2025-04-25,Kenya,Self Search,5399.0,1,2025.0,4.0
157372,Techpick Store Limited,Electronics Shop,Retail,5732- Electronics Sales,Jonah Rop,Finalized,2025-04-25,Kenya,Account Management Referral,5732.0,1,2025.0,4.0
153926,TARAIPI AUTOMATION,E-Commerce,E-Commerce,5732- Electronics Sales,Simon Mahinda,Not Interested / Lost,2025-04-24,Kenya,Landing Page,5732.0,0,2025.0,4.0
157274,M.A. SAFARI LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,David Msando,Activated,2025-04-24,Tanzania,Account Management Referral,4722.0,1,2025.0,4.0
157084,SAED THE TRANSPORTER,General Service Provider,Retail,4121- Taxicabs and Limo,Elia Mwakijale,Finalized,2025-04-22,Tanzania,Chat,4121.0,1,2025.0,4.0
157267,URBAN ELEGANCE,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Adella Asaasira,Finalized,2025-04-22,Uganda,Chat,5691.0,1,2025.0,4.0
156905,CLASSY CURVY FASHIONS,Beauty Shop/Supplies,Retail,5691- Men and Women Clothing Stores,Adella Asaasira,Finalized,2025-04-22,Uganda,Chat,5691.0,1,2025.0,4.0
156950,AARIO FASHION LIMITED,Gift Shop,Retail,5399-Miscellaneous General Merchant (Small Retail),Adella Asaasira,Finalized,2025-04-22,Uganda,Chat,5399.0,1,2025.0,4.0
153912,Brainpay Survey,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Jimmi Muchemi,Account Closed,2025-04-22,Kenya,Social Media,5399.0,0,2025.0,4.0
157023,USAKA ADVENTURE LIMITED,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Activated,2025-04-22,Tanzania,Account Management Referral,4722.0,1,2025.0,4.0
156996,FABTECH TOURS AND ADVENTURES,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Elia Mwakijale,Finalized,2025-04-22,Tanzania,Account Management Referral,4722.0,1,2025.0,4.0
